date,expiry,instrument,symbol,open,high,low,close,last_traded_price,previous_close,settlement_price,traded_quantity,traded_value_lakhs,open_interest,change_in_open_interest,market_lot,underlying_value
03-Mar-2021,27-May-2021,FUTIDX,BANKNIFTY,35851.95,36725,35851.9,36655.25,36659,35646.25,36655.25,71525,26147.34,364475,52875,25,34684
04-Mar-2021,25-Mar-2021,FUTIDX,BANKNIFTY,35726.25,36421.25,35530,35879.75,35885.2,36491.75,35879.75,5819625,2090907.91,1345800,-158500,25,34684
04-Mar-2021,29-Apr-2021,FUTIDX,BANKNIFTY,36000,36517.45,35642.25,35990.8,36017.4,36584.55,35990.8,434975,157389.89,620625,193675,25,34684
04-Mar-2021,27-May-2021,FUTIDX,BANKNIFTY,36026.75,36578.3,35728,36093.8,36075.1,36655.25,36093.8,195625,71070.56,541550,177075,25,34684
05-Mar-2021,25-Mar-2021,FUTIDX,BANKNIFTY,35500,35660,34887.9,35287.95,35380,35879.75,35287.95,6118900,2158981.88,1492300,146500,25,34684
05-Mar-2021,29-Apr-2021,FUTIDX,BANKNIFTY,35867.2,35867.2,35010,35391.05,35491,35990.8,35391.05,187025,66174.17,629125,8500,25,34684
05-Mar-2021,27-May-2021,FUTIDX,BANKNIFTY,35800,35800,35100,35514.6,35568.8,36093.8,35514.6,26650,9458.23,551475,9925,25,34684
08-Mar-2021,25-Mar-2021,FUTIDX,BANKNIFTY,35501.05,35888.5,35100,35316.05,35367.65,35287.95,35316.05,5359775,1900230.96,1511200,18900,25,34684
08-Mar-2021,29-Apr-2021,FUTIDX,BANKNIFTY,35205.8,35980,35205.8,35454.35,35490,35391.05,35454.35,201650,71747.83,662950,33825,25,34684
08-Mar-2021,27-May-2021,FUTIDX,BANKNIFTY,35580.6,36050,35340,35507.65,35579.2,35514.6,35507.65,53200,18974.09,587250,35775,25,34684
09-Mar-2021,25-Mar-2021,FUTIDX,BANKNIFTY,35668,36154,35604,35932.95,35948.2,35316.05,35932.95,5573775,1998426.08,1407825,-103375,25,34684
09-Mar-2021,29-Apr-2021,FUTIDX,BANKNIFTY,35807.75,36242.05,35732.25,36011.45,36054.2,35454.35,36011.45,315900,113633.93,765250,102300,25,34684
09-Mar-2021,27-May-2021,FUTIDX,BANKNIFTY,35870,36334.4,35846,36104.85,36140.1,35507.65,36104.85,143050,51588.8,691825,104575,25,34684
10-Mar-2021,25-Mar-2021,FUTIDX,BANKNIFTY,36244,36244,35816,36007.75,35995.25,35932.95,36007.75,3504700,1262741.24,1366175,-41650,25,34684
10-Mar-2021,29-Apr-2021,FUTIDX,BANKNIFTY,35683.55,36353.3,35683.55,36132.65,36100.15,36011.45,36132.65,134475,48606.45,799850,34600,25,34684
10-Mar-2021,27-May-2021,FUTIDX,BANKNIFTY,36310,36440.05,36044.95,36221.45,36216.6,36104.85,36221.45,176000,63801.53,699800,7975,25,34684
